"","X16S22DTH68.1_L2_Q1157W0181","X16S22DTH68.4_L2_Q1160W0181","X16S22DTH68.6_L2_Q1162W0181","X16S22DTH68.8_L2_Q1164W0181","X16S22DTH68.14_L2_Q1170W0181","X16S22DTH68.17_L2_Q1173W0181","X16S22DTH68.20_L2_Q0588W0181","X16S22DTH68.30_L2_Q1184W0181","X16S22DTH68.35_L2_Q1161W0179","X16S22DTH68.47_L2_Q1172W0179","X16S22DTH68.54_L2_Q1178W0179","X16S22DTH68.58_L2_Q0521W0179","X16S22DTH68.62_L2_Q1156W0180","X16S22DTH68.71_L2_Q1165W0180","X16S22DTH68.73_L2_Q1167W0180","X16S22DTH68.88_L2_Q1178W0180","X16S22DTH68.93_L2_Q1182W0180","X16S22DTH68.98_L2_Q1153W0180","X16S22DTH68.106_L2_Q1168W0650","X16S22DTH68.113_L2_Q1174W0650","X16S22DTH68.125_L2_Q0521W0650","X16S22DTH68.129_L2_Q1184W0650","X16S22DTH68.137_L2_Q1165W0195","X16S22DTH68.140_L2_Q1168W0195","X16S22DTH68.145_L2_Q1172W0195","X16S22DTH68.152_L2_Q1178W0195","X16S22DTH68.162_L2_Q1163W0196","X16S22DTH68.164_L2_Q1165W0196","X16S22DTH68.166_L2_Q1167W0196","X16S22DTH68.167_L2_Q1168W0196","X16S22DTH68.170_L2_Q1172W0196","X16S22DTH68.174_L2_Q0588W0196","X16S22DTH68.193_L2_Q1169W0197","X16S22DTH68.198_L2_Q1174W0197","X16S22DTH68.199_L2_Q1175W0197","X16S22DTH80.212_L2_Q0393W0193","X16S22DTH80.219_L2_Q1190W0193","X16S22DTH80.223_L2_Q0003W0198","X16S22DTH80.227_L2_Q0390W0198","X16S22DTH80.239_L2_Q1190W0198","X16S22DTH80.243_L2_Q1193W0198","X16S22DTH80.248_L2_Q0391W0199","X16S22DTH80.254_L2_Q0395W0199","X16S22DTH80.257_L2_Q1188W0199","X16S22DTH80.274_L2_Q0395W0072","X16S22DTH80.284_L2_Q0003W0066","X16S22DTH80.292_L2_Q1187W0066","X16S22DTH80.297_L2_Q0397W0066","X16S22DTH80.301_L2_Q0004W0069","X16S22DTH80.329_L2_Q0394W0070","X16S22DTH80.332_L2_Q0397W0070","X16S22DTH80.337_L2_Q1192W0070","X16S22DTH80.343_L2_Q0390W0071","X16S22DTH80.346_L2_Q1186W0071","X16S22DTH80.354_L2_Q1189W0071","X16S22DTH80.360_L2_Q0004W0565","X16S22DTH80.365_L2_Q0392W0565","X16S22DTH80.377_L2_Q1192W0565","X16S22DTH80.386_L2_Q1186W1757","X16S22DTH80_394","X16S22DTH80_410","X16S22DTH80_420","X16S22DTH80_429","X16S22DTH80_434","X16S22DTH80_443","X16S22DTH80_462","X16S22DTH80_466","X16S22DTH80_468","X16S22DTH80_469","X16S22DTH80_475","X16S22DTH80_486","X16S22DTH80_487","X16S22DTH80_502","X16S22DTH80_507","X16S22DTH80_511","X16S22DTH80_526","X16S22DTH80_530","X16S22DTH80_543","X16S22DTH80_544","X16S22DTH80_560","X16S22DTH80_564","X16S22DTH80_575","X16S22DTH80_576","X16S22DTH80_586","X16S22DTH80_594","X16S22DTH80_598","X16S22DTH80_601","X16S22DTH80_602","X16S22DTH80_632","X16S22DTH80_635","X16S22DTH80_647","X16S22DTH80_653","X16S22DTH80_680","X16S22DTH80_682","X16S22DTH80_687","X16S22DTH80_690","X16S22DTH80_700","X16S22DTH80_705","X16S22DTH80_710","X16S22DTH80_732","X16S22DTH80_740","X16S22DTH80_745","X16S22DTH80_753","X16S22DTH80_757","X16S22DTH80_762","X16S22DTH80_775","X16S22DTH80_783","X16S22DTH80_791","X16S22DTH80_794","X16S22DTH80_798","X16S22DTH80_801","X16S22DTH80_805","X16S22DTH80_808","X16S22DTH80_810","X16S22DTH80_814","X16S22DTH80_819","X16S22DTH80_821","X16S22DTH80_830","X16S22DTH80_833","A11_475","A13_473","A15_474","A16_473","A19_475","A2_473","A23_473","A23_474","A26_475","A27_474","A28_473","A3_474","A33_475","A34_474","A39_475","A4_475","A43_473","A43_474","A7_473","anzhen123_E_1","anzhen124_E_1","anzhen125_E_1","BL15001","BL16009","BL16010","BL16011","BL16014","BL16023","BL16027","BL16031","BL16033","BL16043","BL16046","BL16055","BL16056","BL16057","BL16069","BL16074","BL16082","BL16091","BL16101","BL16106","BL16111","BL16115","BL16126","BL16128","BL16134","BL16136","BL16139","BL16149","BL16151","BL16152","BL201701000994","BL201701001002","BL201701001010","BL201701001016","BL201701001022","BL201701001024","BL201701001030","BL201701001035","BL201701001126","BL201701001130","BL201703001198","BL201703001202","BL201703001370","BL201703001374","BL201703001375","BL201703001376","BL201703001377","BL201703001380","BL201705001633","BL201705001634","BL201705001639","BL201705001645","BL201705001711","BL201705001713","BL201705001715","BL201706002318","BL201706002319","BL201706002320","BL201711004468","BL201711004482","BL201711004486","BL201711004495","BL201712004849","BL201712004861","BL201712004867","BL201712004868","BL201712004880","BL201712004890","BL201712004898","BL201712004903","BL201712004910","BL201712004924","BL201712004932","BL201712004933","BL201712004935","BL201712004937","BL201712004947","BL201712004953","BL201712004967","BL201712004977","BL201712004981","BL201712004982","BL201712004983","BL201712004990","E102_E_1","E103_E_1","E107_E_1","E108_E_1","E113_E_1","E114_E_1","E115_E_1","E117_E_1","E118_E_1","E120_E_1","E124_E_1","E125_E_1","E44_E_1","E45_E_1","E46_E_1","E47_E_1","E49_E_1","E50_E_1","E51_E_1","E52_E_1","E57_E_1","E58_E_1","E60_E_1","E61_E_1","E63_E_1","E64_E_1","E66_E_1","E67_E_1","E68_E_1","E69_E_1","E70_E_1","E71_E_1","E73_E_1","E76_E_1","E77_E_0","E79_E_1","E80_E_1","E81_E_1","E83_E_1","E85_E_1","E86_E_1","E87_E_1","E88_E_1","E89_E_1","E90_E_1","E92_E_1","E93_E_1","E94_E_1","E97_E_1","E98_E_1","E99_E_1","MiLib476_A1","MiLib476_A14","MiLib476_A16","MiLib476_A20","MiLib476_A8","MiLib477_A1","MiLib477_A17","MiLib477_A25","MiLib477_A37","MiLib477_A43","MiLib477_A9","MiLib478_A12","MiLib478_A17","MiLib478_A22","MiLib478_A25","MiLib478_A27","MiLib478_A43","MiLib478_A7","MiLib479_A1","MiLib479_A13","MiLib479_A17","MiLib479_A3","MiLib479_A42","MiLib479_A44","E56_E_1","E75_E_1","X16S23DTH54_839","X16S23DTH54_840","X16S23DTH54_841","X16S23DTH54_842","X16S23DTH54_843","X16S23DTH54_844","X16S23DTH54_845","X16S23DTH54_846","X16S23DTH54_847","X16S23DTH54_848","X16S23DTH54_849","X16S23DTH54_850","X16S23DTH54_851","X16S23DTH54_852","X16S23DTH54_853","X16S23DTH54_854","X16S23DTH54_855","X16S23DTH54_856","X16S23DTH54_857","X16S23DTH54_858","X16S23DTH54_859","X16S23DTH54_860","X16S23DTH54_861","X16S23DTH54_862","X16S23DTH54_863","X16S23DTH54_864","X16S23DTH54_865","X16S23DTH54_866","X16S23DTH54_867","X16S23DTH54_868","X16S23DTH54_869","X16S23DTH54_870","X16S23DTH54_871","X16S23DTH54_872","X16S23DTH54_873","X16S23DTH54_874","X16S23DTH54_875","X16S23DTH54_876","X16S23DTH54_877","X16S23DTH54_879","X16S23DTH54_880","X16S23DTH54_881","X16S23DTH54_882","X16S23DTH54_883","X16S23DTH54_884","X16S23DTH54_885","X16S23DTH54_886","X16S23DTH54_887","X16S23DTH54_888","X16S23DTH54_889","X16S23DTH54_890","X16S23DTH54_891","X16S23DTH54_892","X16S23DTH54_893","X16S23DTH54_895","X16S23DTH54_896","X16S23DTH54_897"
"f__[Acidaminobacteraceae];g__Acidaminobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Acidaminobacteraceae];g__Fusibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000339328130302002,0.00196678321678322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Acidaminobacteraceae];g__WH1-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Balneolaceae];g__KSA1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Bryobacteraceae];g__Bryobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Chromatiaceae];g__Rheinheimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109126056184329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00104471374843293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125066441547072,0,0,0,0,9.92358836955443e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00413793103448276,0,0.00305944055944056,0,0,0,0,0.00166865315852205,0.0010539629005059,0,0.000496113775425831,0,0,0,0.000753863550697324,0.00139897857708709,0.00967906265919511,0,0,0,0,0,0,0,0,0,0,0.0101763907734057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0.0071301247771836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00766283524904215,0,0,0,0,0,7.50609870519797e-05,0,0,0,0,0,0,0.00347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0.00238379022646007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227736233854521,0,0,0,0,0,0.00233236151603499,0,0,0,0,0.000321966139894288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Chthoniobacteraceae];g__Candidatus Xiphinematobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Chthoniobacteraceae];g__Chthoniobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f__[Chthoniobacteraceae];g__DA101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000271942348222177,0,0,0,0,0,0,0.000562828950704297,0,0,0,0,0,0,0,0,0,0
"f__[Chthoniobacteraceae];g__Ellin506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.64356183495178e-05,0,0,0,0,0,0,0,0,0,0,0
